aid,audcatid,artstid,Title,Album,Sevadar,Titlefws,Duration,audiosize,audiopath,audio_year,filename,cdnpath,imgpath,status,createdon
,,,TKD-Mere Sahiba Gun Gaveh-26M,December 2009,Tashneet Kaur DL,TSGG,30,28,,2009,10_TKD-Mere Sahiba Gun Gaveh-26M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'09/D094/10_TKD-Mere%20Sahiba%20Gun%20Gaveh-26M.mp3,,1,2009-12-30 23:45:36
,,,VKJ- Priye Sang Preet Na Ulte,December 2009,Verjit Kaur Jammu,VPSPNU,28,26,,2009,05_VKJ- Priye Sang Preet Na Ulte Kabhu- 24M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'09/D093/05_VKJ-%20Priye%20Sang%20Preet%20Na%20Ulte%20Kabhu-%2024M.mp3,,1,2009-12-30 23:45:36
,,,VKJ- Aek Pita Aekas Ke Ham Ba,December 2009,Verjit Kaur Jammu,VAPAKHB,27,26,,2009,03_VKJ- Aek Pita Aekas Ke Ham Barak-27M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'09/D095/03_VKJ-%20Aek%20Pita%20Aekas%20Ke%20Ham%20Barak-27M.mp3,,1,2009-12-30 23:45:36
,,,VKJ-At Pritam Man Mohana-30M,December 2009,Verjit Kaur Jammu,VPMM,28,26,,2009,07_VKJ-At Pritam Man Mohana-30M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'09/D097/07_VKJ-At%20Pritam%20Man%20Mohana-30M.mp3,,1,2009-12-30 23:45:36
,,,VKJ- Hao Kachu Na Jano Teri S,December 2009,Verjit Kaur Jammu,VHKNJTS,25,23,,2009,04_VKJ- Hao Kachu Na Jano Teri Saar-21M .mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'09/D091/04_VKJ-%20Hao%20Kachu%20Na%20Jano%20Teri%20Saar-21M%20.mp3,,1,2009-12-30 23:45:36
,,,VKJ-Sant Jana Ke Sang- 22M,December 2009,Verjit Kaur Jammu,VJKS2,26,24,,2009,16_VKJ-Sant Jana Ke Sang- 22M .mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'09/D091/16_VKJ-Sant%20Jana%20Ke%20Sang-%2022M%20.mp3,,1,2009-12-30 23:45:36
,,,Haun Reh Na Saka Bin Dekhe Pr,December 2010,Aimy Kaur USA,HRNSBDP,22,21,,2010,22_Aimy - Haun Reh Na Saka Bin Dekhe Pritma (29-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D106/22_Aimy%20-%20Haun%20Reh%20Na%20Saka%20Bin%20Dekhe%20Pritma%20%2829-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Deh Naam Santokhiya,December 2010,Ajit Singh Jammu,DNS,19,18,,2010,28_Ajit Singh Jammu - Deh  Naam Santokhiya (26-12-10)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/28_Ajit%20Singh%20Jammu%20-%20Deh%20%20Naam%20Santokhiya%20%2826-12-10%29E.mp3,,1,2010-12-30 23:45:36
,,,Anand Sahib,December 2010,Akbar Singh Bains,AS,14,13,,2010,06_Akbar Singh Bains - Anand Sahib .mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D105/06_Akbar%20Singh%20Bains%20-%20Anand%20Sahib%20.mp3,,1,2010-12-30 23:45:36
,,,Tujh Bin Gharee Na Jeevnaa,December 2010,Aman Kaur DL,TBGNJ,24,22,,2010,05_AKD - Tujh Bin Gharee Na Jeevnaa (29-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D106/05_AKD%20-%20Tujh%20Bin%20Gharee%20Na%20Jeevnaa%20%2829-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Jise Nivaje So Jan Soora,December 2010,Aman Kaur DL,JNSJS,27,25,,2010,13_AKD- Jise Nivaje So Jan Soora(28-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D105/13_AKD-%20Jise%20Nivaje%20So%20Jan%20Soora%2828-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Sadhu Sang Bhajahu Gopal,December 2010,Amarjit Singh JAL,SSBG,33,30,,2010,18_AJS-Sadhu Sang Bhajahu Gopal  (20-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D101/18_AJS-Sadhu%20Sang%20Bhajahu%20Gopal%20%20%2820-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Pokh Tukhar Na Viapae,December 2010,Amarjit Singh JAL,PTNV,30,28,,2010,20_AJS -Pokh Tukhar Na Viapae (22-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D102/20_AJS%20-Pokh%20Tukhar%20Na%20Viapae%20%2822-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Anand Sahib,December 2010,Amarjit Singh JAL,AS,12,11,,2010,10_AJS - Anand Sahib (26-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/10_AJS%20-%20Anand%20Sahib%20%2826-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Tin Ka Khadha Paidha Maya,December 2010,Amarjit Singh JAL,TKKPM,28,26,,2010,20_AJS - Tin Ka Khadha Paidha Maya (25-12-10)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/20_AJS%20-%20Tin%20Ka%20Khadha%20Paidha%20Maya%20%2825-12-10%29E.mp3,,1,2010-12-30 23:45:36
,,,Gayeeae Raat Dinant Gavan Jog,December 2010,Amarjit Singh JAL,GRDGJ,31,28,,2010,16_AJS - Gayeeae Raat Dinant Gavan Jogia (29-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D106/16_AJS%20-%20Gayeeae%20Raat%20Dinant%20Gavan%20Jogia%20%2829-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Gobind Preet Lagee At Piaree,December 2010,Amarjit Singh JAL,GPLAP,33,31,,2010,15_AJS - Gobind Preet Lagee At Piaree (21-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/15_AJS%20-%20Gobind%20Preet%20Lagee%20At%20Piaree%20%2821-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Hukmi Varsan Lage Meha,December 2010,Amarjit Singh JAL,HVLM,35,32,,2010,19_AJS - Hukmi Varsan Lage Meha (30-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/19_AJS%20-%20Hukmi%20Varsan%20Lage%20Meha%20%2830-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
